Date,Open,High,Low,Adj_Close,Volume
05-Jul-21,"60,292.64","60,303.19","59,648.57","60,082.20",63.23M
02-Jul-21,"60,476.77","60,874.61","60,210.55","60,292.64",70.59M
01-Jul-21,"60,161.76","60,709.02","59,961.09","60,476.77",88.30M
30-Jun-21,"60,495.83","60,598.66","60,018.97","60,161.76",139.78M
29-Jun-21,"59,820.66","60,770.24","59,782.29","60,495.83",103.28M
28-Jun-21,"60,140.15","60,258.29","59,794.87","59,820.66",101.77M
25-Jun-21,"60,188.42","60,502.73","59,984.90","60,140.15",96.86M
24-Jun-21,"59,764.05","60,272.44","59,510.89","60,188.42",104.59M
23-Jun-21,"59,493.46","60,038.37","59,477.02","59,764.05",89.09M
22-Jun-21,"59,472.25","59,765.55","59,314.72","59,493.46",104.30M
21-Jun-21,"59,503.87","59,657.89","58,955.86","59,472.25",108.04M
18-Jun-21,"60,399.88","60,443.27","59,503.87","59,503.87",256.45M
17-Jun-21,"61,061.79","61,076.51","60,297.32","60,399.88",434.01M
15-Jun-21,"61,653.75","61,729.08","60,850.67","61,061.79",129.53M
14-Jun-21,"61,444.66","61,947.91","61,369.68","61,653.75",76.85M
11-Jun-21,"61,291.03","61,636.79","61,178.80","61,444.66",68.92M
10-Jun-21,"61,433.18","61,812.35","61,231.02","61,291.03",84.82M
09-Jun-21,"61,452.39","61,504.54","61,108.05","61,433.18",114.87M
08-Jun-21,"61,387.75","61,723.89","61,227.24","61,452.39",97.40M
07-Jun-21,"61,616.80","61,630.09","60,976.58","61,387.75",79.85M
04-Jun-21,"61,573.32","62,014.80","61,419.99","61,616.80",99.21M
03-Jun-21,"62,786.67","62,786.67","61,387.90","61,573.32",118.39M
02-Jun-21,"62,698.90","63,063.44","62,652.06","62,786.67",108.96M
01-Jun-21,"61,782.86","62,932.55","61,782.86","62,698.90",117.34M
31-May-21,"61,345.49","61,930.14","61,345.12","61,782.86",66.01M
28-May-21,"60,802.01","61,526.06","60,612.47","61,345.49",141.30M
27-May-21,"60,093.24","60,807.71","59,983.65","60,802.01",224.67M
26-May-21,"60,106.11","60,433.73","60,009.95","60,093.24",109.79M
25-May-21,"60,056.92","60,795.10","60,037.87","60,106.11",130.68M
24-May-21,"60,210.00","60,487.72","59,957.26","60,056.92",92.31M
21-May-21,"60,068.05","60,723.75","60,051.63","60,210.00",104.34M
20-May-21,"59,776.91","60,359.82","59,680.76","60,068.05",104.46M
19-May-21,"61,189.94","61,193.04","59,644.90","59,776.91",116.64M
18-May-21,"61,193.22","61,950.04","60,986.71","61,189.94",108.20M
17-May-21,"60,573.37","61,329.85","60,573.37","61,193.22",97.65M
14-May-21,"60,211.08","60,610.29","60,107.43","60,573.37",109.77M
13-May-21,"61,529.14","61,533.67","59,492.47","60,211.08",145.00M
12-May-21,"61,320.37","62,501.49","61,320.37","61,529.14",93.80M
11-May-21,"62,389.39","62,389.39","61,056.62","61,320.37",108.73M
10-May-21,"62,573.36","63,236.16","62,386.88","62,389.39",117.28M
07-May-21,"61,705.88","62,716.94","61,698.95","62,573.36",129.57M
06-May-21,"61,536.47","61,796.05","61,172.16","61,705.88",139.93M
05-May-21,"60,376.47","61,598.40","60,376.47","61,536.47",126.43M
04-May-21,"60,769.69","61,378.29","60,184.29","60,466.82",0
03-May-21,"61,096.37","61,278.15","60,490.78","60,769.69",91.39M
30-Apr-21,"61,508.38","61,556.30","60,818.38","61,096.37",183.55M
29-Apr-21,"61,838.56","62,286.20","61,468.34","61,508.38",116.27M
28-Apr-21,"61,716.82","62,101.46","61,502.72","61,838.56",105.70M
26-Apr-21,"61,478.76","61,752.09","61,397.05","61,716.82",72.26M
23-Apr-21,"61,182.94","61,503.12","61,011.63","61,478.76",94.72M
22-Apr-21,"61,399.26","61,645.79","60,992.11","61,182.94",92.35M
21-Apr-21,"61,116.77","61,493.83","60,709.04","61,399.26",110.56M
